,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
NDUFA8,2.16E-06,0.779686363,0.5,0.143,0.029601999,7,NDUFA8
MYL63,2.17E-06,0.552078636,1,0.851,0.029724672,7,MYL6
IFI44,2.20E-06,0.75699763,0.406,0.107,0.030202682,7,IFI44
LILRB21,2.30E-06,1.017333026,0.375,0.097,0.031537267,7,LILRB2
ACYP2,2.39E-06,1.588001927,0.281,0.063,0.032833089,7,ACYP2
RAB11A,2.46E-06,0.773998511,0.438,0.119,0.0337258,7,RAB11A
MRPL41,2.47E-06,1.060613257,0.5,0.153,0.033842007,7,MRPL41
IKBIP,2.48E-06,1.646463823,0.25,0.053,0.03398434,7,IKBIP
FAM133B,2.62E-06,0.892577365,0.344,0.083,0.035879086,7,FAM133B
ETFA1,2.62E-06,0.677639731,0.469,0.129,0.035890214,7,ETFA
ATP6V1E1,2.64E-06,1.038487686,0.531,0.167,0.036212027,7,ATP6V1E1
BLVRB1,2.76E-06,0.986328836,0.5,0.158,0.0378226,7,BLVRB
LAMTOR22,2.79E-06,0.908378715,0.625,0.219,0.038237805,7,LAMTOR2
SNRPD11,3.13E-06,0.937874029,0.656,0.209,0.042949174,7,SNRPD1
CCT4,3.21E-06,0.542130649,0.656,0.203,0.044049875,7,CCT4
SMARCB1,3.26E-06,0.871707892,0.438,0.124,0.044716059,7,SMARCB1
GUSB,3.42E-06,0.660169613,0.344,0.086,0.046943172,7,GUSB
ARHGEF401,3.43E-06,1.464810664,0.25,0.053,0.047055027,7,ARHGEF40
PHPT12,3.44E-06,0.570782049,0.531,0.16,0.047143592,7,PHPT1
COMMD4,3.44E-06,0.844712012,0.281,0.062,0.047231534,7,COMMD4
ATP5B2,3.80E-06,0.94714308,0.844,0.401,0.052102118,7,ATP5B
ETNK1,3.81E-06,1.039697493,0.25,0.052,0.052297152,7,ETNK1
SNRPG,3.84E-06,0.762124973,0.469,0.135,0.052609117,7,SNRPG
DCTN6,3.88E-06,1.193698207,0.312,0.075,0.053171857,7,DCTN6
DDIT42,3.89E-06,0.677968666,0.656,0.217,0.053415477,7,DDIT4
CTSB2,4.03E-06,0.313844488,0.625,0.195,0.055318165,7,CTSB
PRKCD,4.06E-06,0.95103249,0.25,0.052,0.055625037,7,PRKCD
PTPN181,4.19E-06,1.010376828,0.469,0.138,0.057424318,7,PTPN18
FAM26F3,4.28E-06,0.842947853,0.625,0.224,0.058660209,7,FAM26F
TMED101,4.28E-06,1.003822362,0.562,0.186,0.058700254,7,TMED10
CMTM3,4.38E-06,0.917634255,0.5,0.153,0.06010413,7,CMTM3
CAPNS12,4.41E-06,1.912501273,0.438,0.126,0.0605118,7,CAPNS1
PAFAH1B1,4.70E-06,0.816768797,0.281,0.063,0.064521785,7,PAFAH1B1
NANS1,4.74E-06,0.883553614,0.406,0.112,0.065062936,7,NANS
CBR11,5.13E-06,1.182512233,0.406,0.116,0.070386118,7,CBR1
RPS111,5.14E-06,0.506625887,1,0.949,0.070476137,7,RPS11
YWHAH2,5.18E-06,0.708747457,0.594,0.193,0.071010483,7,YWHAH
EFHD23,5.67E-06,0.751792692,0.562,0.189,0.077739532,7,EFHD2
NAMPT1,5.74E-06,1.070324855,0.344,0.089,0.0787666,7,NAMPT
SEC13,5.77E-06,0.936301524,0.375,0.1,0.079131026,7,SEC13
PFKL1,5.92E-06,1.104378645,0.375,0.103,0.081205468,7,PFKL
MRPS25,5.93E-06,1.337937348,0.281,0.065,0.081286631,7,MRPS25
RNASET21,6.01E-06,0.874884698,0.938,0.494,0.082392301,7,RNASET2
THEMIS22,6.04E-06,0.854392268,0.406,0.113,0.082819568,7,THEMIS2
CSF3R1,6.05E-06,0.605411494,0.406,0.112,0.083000622,7,CSF3R
ADRM12,6.07E-06,0.528141703,0.562,0.172,0.083255269,7,ADRM1
PPA12,6.15E-06,1.026357181,0.719,0.311,0.084345996,7,PPA1
IFITM32,6.16E-06,1.091543964,0.594,0.221,0.084532882,7,IFITM3
RAB11FIP1,6.26E-06,1.100142641,0.281,0.065,0.085842192,7,RAB11FIP1
AMPD2,6.43E-06,1.462657439,0.25,0.054,0.088118639,7,AMPD2
OSTC1,6.53E-06,0.706264951,0.562,0.183,0.089533676,7,OSTC
OXA1L1,7.16E-06,0.810970876,0.594,0.199,0.098129144,7,OXA1L
APPL1,7.35E-06,1.396840185,0.25,0.055,0.100815629,7,APPL1
MRPS22,7.38E-06,1.056424762,0.281,0.065,0.101161778,7,MRPS22
DNM2,7.41E-06,1.315653094,0.281,0.066,0.101580279,7,DNM2
CYBA3,7.50E-06,0.64448434,1,0.845,0.102826302,7,CYBA
COMMD91,7.69E-06,0.992085946,0.406,0.118,0.105402853,7,COMMD9
PLEKHF21,7.99E-06,0.414443701,0.344,0.087,0.109593565,7,PLEKHF2
SBNO1,8.08E-06,1.218153855,0.25,0.055,0.11084397,7,SBNO1
RBM17,8.36E-06,0.787200401,0.5,0.155,0.114699131,7,RBM17
CLIC14,8.39E-06,0.651426533,1,0.641,0.115089633,7,CLIC1
SMIM12,8.50E-06,0.793926824,0.406,0.114,0.116551344,7,SMIM12
MRPL9,8.55E-06,0.50038136,0.469,0.136,0.117255596,7,MRPL9
IFNAR1,8.66E-06,1.082662148,0.281,0.066,0.118823774,7,IFNAR1
FGL22,8.68E-06,0.89779546,0.406,0.123,0.119077054,7,FGL2
SLC25A62,8.84E-06,0.757637574,1,0.831,0.121183024,7,SLC25A6
FKBP5,9.01E-06,0.627610885,0.312,0.078,0.123581738,7,FKBP5
NCKAP1L1,9.03E-06,0.770141499,0.375,0.104,0.123900149,7,NCKAP1L
ATP6AP1,9.33E-06,1.313908323,0.312,0.081,0.127952629,7,ATP6AP1
PAIP1,9.57E-06,1.116123823,0.281,0.066,0.131187849,7,PAIP1
HDAC3,9.68E-06,1.174438725,0.312,0.079,0.132721264,7,HDAC3
HMGA1,9.70E-06,1.082451528,0.406,0.119,0.132987981,7,HMGA1
SNRNP27,1.01E-05,1.145567885,0.25,0.056,0.137991859,7,SNRNP27
ATF3,1.02E-05,1.526875249,0.25,0.057,0.139267382,7,ATF3
DCXR,1.05E-05,0.836659575,0.531,0.173,0.143902311,7,DCXR
SYNGR21,1.07E-05,0.920952902,0.438,0.132,0.146183613,7,SYNGR2
MPEG12,1.07E-05,0.8855404,0.375,0.106,0.146221764,7,MPEG1
TMEM2191,1.08E-05,0.445726649,0.75,0.27,0.148346063,7,TMEM219
MOB1A1,1.10E-05,0.881117448,0.562,0.192,0.15088445,7,MOB1A
FAM173A,1.10E-05,0.53682244,0.375,0.101,0.151150312,7,FAM173A
TMEM109,1.11E-05,1.074734369,0.406,0.121,0.152655765,7,TMEM109
DR1,1.13E-05,0.865247451,0.406,0.116,0.154469519,7,DR1
ICT1,1.13E-05,1.157859507,0.281,0.068,0.154676039,7,ICT1
C19orf102,1.17E-05,0.897944145,0.594,0.214,0.160462981,7,C19orf10
SNAP291,1.21E-05,1.302649389,0.312,0.082,0.165320838,7,SNAP29
EIF3L,1.21E-05,0.967727237,0.969,0.543,0.165919826,7,EIF3L
VPS291,1.24E-05,0.806066231,0.562,0.193,0.17065847,7,VPS29
JOSD2,1.25E-05,0.959934973,0.344,0.092,0.171408923,7,JOSD2
SNX51,1.27E-05,0.51368204,0.375,0.103,0.174677835,7,SNX5
CLNS1A,1.34E-05,0.716238244,0.594,0.211,0.183128009,7,CLNS1A
PDCD7,1.39E-05,0.986245593,0.312,0.08,0.190063867,7,PDCD7
HAUS4,1.45E-05,0.975440612,0.281,0.068,0.198379439,7,HAUS4
AURKAIP11,1.49E-05,0.883281154,0.719,0.283,0.203848691,7,AURKAIP1
ELMO1,1.49E-05,0.919536388,0.281,0.068,0.204687251,7,ELMO1
BAG11,1.51E-05,0.843509243,0.531,0.173,0.207517199,7,BAG1
S100A112,1.55E-05,0.431125323,1,0.521,0.212508598,7,S100A11
IRF71,1.59E-05,1.982344861,0.469,0.161,0.218525976,7,IRF7
MCRS1,1.60E-05,1.07286708,0.312,0.081,0.21958434,7,MCRS1
VPS72,1.65E-05,0.770738021,0.281,0.068,0.226240353,7,VPS72
IGFBP71,1.71E-05,0.513172344,0.312,0.084,0.234763629,7,IGFBP7
GNG52,1.72E-05,1.259626198,0.688,0.289,0.236348658,7,GNG5
CFL13,1.79E-05,0.546860466,1,0.915,0.245726581,7,CFL1
RNF1812,1.83E-05,0.537536444,0.625,0.213,0.25117333,7,RNF181
GTF3C6,1.86E-05,0.750724525,0.469,0.145,0.255449384,7,GTF3C6
SEC61B1,1.89E-05,0.923454209,0.781,0.314,0.259251061,7,SEC61B
POLR2A,1.93E-05,1.155388206,0.281,0.07,0.264131548,7,POLR2A
SAMD9L,1.93E-05,0.766728593,0.344,0.095,0.265172584,7,SAMD9L
ATP5C11,1.94E-05,1.49559807,0.75,0.305,0.266292707,7,ATP5C1
EAF21,1.96E-05,0.26334171,0.344,0.092,0.269177359,7,EAF2
TM9SF2,2.04E-05,0.939378273,0.281,0.069,0.279795168,7,TM9SF2
INPP5D,2.05E-05,1.166806846,0.312,0.083,0.280817465,7,INPP5D
MTCH1,2.08E-05,1.005506792,0.438,0.139,0.285754036,7,MTCH1
NDUFAB1,2.10E-05,1.005966318,0.562,0.2,0.287775163,7,NDUFAB1
SAT21,2.10E-05,0.294247943,0.531,0.167,0.288039979,7,SAT2
ESD,2.15E-05,0.927982097,0.344,0.095,0.295195154,7,ESD
ZSWIM7,2.23E-05,0.634338741,0.344,0.092,0.306436236,7,ZSWIM7
AOAH2,2.24E-05,0.907374389,0.406,0.123,0.306539693,7,AOAH
GNB22,2.26E-05,0.756014204,0.688,0.262,0.309790202,7,GNB2
PITHD1,2.27E-05,0.516287101,0.438,0.132,0.310893815,7,PITHD1
ARHGAP27,2.41E-05,1.113065604,0.25,0.058,0.330655022,7,ARHGAP27
EIF2B1,2.53E-05,0.848057655,0.312,0.084,0.346696956,7,EIF2B1
MIIP,2.53E-05,1.04238341,0.25,0.058,0.346756554,7,MIIP
PLD3,2.56E-05,0.954108289,0.312,0.084,0.351113817,7,PLD3
RPL26L1,2.57E-05,0.680002076,0.312,0.082,0.353078968,7,RPL26L1
URM1,2.69E-05,0.895992963,0.406,0.124,0.368785154,7,URM1
MTHFD2,2.74E-05,1.436583978,0.281,0.073,0.375788613,7,MTHFD2
SKAP2,2.90E-05,1.106004097,0.25,0.06,0.397268432,7,SKAP2
GDI21,2.92E-05,1.851882387,0.656,0.3,0.400393142,7,GDI2
MRPL232,2.95E-05,0.583393499,0.75,0.284,0.404517066,7,MRPL23
BABAM1,3.00E-05,0.442765144,0.406,0.12,0.411610462,7,BABAM1
MRPL15,3.19E-05,1.122692274,0.281,0.073,0.437802167,7,MRPL15
NDUFS62,3.20E-05,0.815215034,0.625,0.226,0.438321235,7,NDUFS6
MCMBP,3.26E-05,1.136288468,0.25,0.06,0.446394678,7,MCMBP
CAPN22,3.30E-05,0.539796354,0.625,0.217,0.451970311,7,CAPN2
NUPL2,3.33E-05,0.574596255,0.25,0.059,0.457354192,7,NUPL2
SNX33,3.62E-05,0.757478535,0.938,0.461,0.496434861,7,SNX3
ATXN2L,3.65E-05,0.787025055,0.281,0.071,0.500723185,7,ATXN2L
PRCP,3.69E-05,1.107589344,0.281,0.073,0.506398157,7,PRCP
SSR32,3.71E-05,0.552321466,0.531,0.177,0.509067169,7,SSR3
COMMD3,3.71E-05,2.452502284,0.406,0.124,0.509131453,7,COMMD3
IFI44L,3.76E-05,0.568868187,0.688,0.262,0.515072721,7,IFI44L
CALM22,3.79E-05,0.748923403,0.906,0.536,0.520151616,7,CALM2
PHB,3.84E-05,0.726983988,0.594,0.21,0.526415675,7,PHB
VAMP81,3.84E-05,0.666092014,0.938,0.503,0.526661627,7,VAMP8
LRRC252,3.95E-05,0.897714098,0.344,0.1,0.541525996,7,LRRC25
PTRHD1,4.00E-05,0.851794952,0.406,0.127,0.548082995,7,PTRHD1
SDHD1,4.01E-05,0.960305953,0.531,0.191,0.550582156,7,SDHD
RPS6KA1,4.10E-05,0.887539114,0.312,0.085,0.56276063,7,RPS6KA1
ID23,4.16E-05,0.905029504,0.781,0.383,0.570052884,7,ID2
UQCR102,4.22E-05,0.505213664,0.875,0.343,0.578162556,7,UQCR10
RBPJ,4.23E-05,0.567259865,0.312,0.084,0.580451453,7,RBPJ
FAM192A,4.43E-05,0.885157894,0.312,0.086,0.608057571,7,FAM192A
NDUFS41,4.47E-05,1.122563109,0.406,0.13,0.613473241,7,NDUFS4
MED6,4.56E-05,0.557846898,0.281,0.071,0.624905793,7,MED6
SPG212,4.65E-05,0.327166855,0.531,0.172,0.637995436,7,SPG21
ATP5G1,4.66E-05,0.849290337,0.562,0.203,0.639586717,7,ATP5G1
GRINA1,4.69E-05,0.844451194,0.344,0.099,0.642978313,7,GRINA
FLYWCH2,4.71E-05,1.112385753,0.281,0.074,0.645990111,7,FLYWCH2
C1QBP1,4.73E-05,0.661403068,0.844,0.367,0.648316028,7,C1QBP
NDUFS82,4.80E-05,0.495089577,0.656,0.234,0.657740774,7,NDUFS8
FAM49B2,4.91E-05,0.750688605,0.688,0.298,0.673438756,7,FAM49B
ITGB71,5.01E-05,0.521175134,0.438,0.137,0.687483941,7,ITGB7
BST23,5.31E-05,0.667162363,0.906,0.444,0.728675317,7,BST2
EIF4A3,5.33E-05,1.098362715,0.375,0.117,0.730872856,7,EIF4A3
PFDN21,5.36E-05,1.158034445,0.531,0.191,0.734521284,7,PFDN2
SH3BGRL34,5.58E-05,0.481802745,1,0.857,0.765548961,7,SH3BGRL3
TPRKB,6.03E-05,0.948684664,0.25,0.062,0.827278339,7,TPRKB
TMEM242,6.09E-05,0.349951314,0.281,0.073,0.835748451,7,TMEM242
TPGS1,6.16E-05,0.94181235,0.375,0.118,0.844133656,7,TPGS1
TPMT,6.19E-05,1.095744012,0.25,0.063,0.848734479,7,TPMT
TMEM208,6.21E-05,0.394369478,0.406,0.124,0.851147612,7,TMEM208
SNW1,6.32E-05,0.404354501,0.438,0.137,0.867303253,7,SNW1
PSMB5,6.40E-05,0.948068104,0.344,0.102,0.877500194,7,PSMB5
ALKBH71,6.44E-05,0.626075502,0.625,0.232,0.882661525,7,ALKBH7
NAA10,6.45E-05,0.686582225,0.5,0.17,0.884983119,7,NAA10
HEXB,6.64E-05,0.990707538,0.344,0.104,0.91124139,7,HEXB
PRPF40A,6.76E-05,0.722145601,0.406,0.127,0.926919956,7,PRPF40A
MIR24-21,6.76E-05,1.270206604,0.344,0.108,0.927325025,7,MIR24-2
SNRPE,6.83E-05,0.7189769,0.469,0.153,0.937275489,7,SNRPE
C19orf382,6.85E-05,0.670234524,0.344,0.101,0.939516759,7,C19orf38
TMX1,6.94E-05,0.770038903,0.344,0.101,0.951468631,7,TMX1
SRA11,6.96E-05,0.582970086,0.344,0.102,0.953957952,7,SRA1
VKORC1,7.07E-05,0.305829289,0.406,0.125,0.969136444,7,VKORC1
ZNHIT12,7.10E-05,0.715256637,0.688,0.27,0.974347173,7,ZNHIT1
PSMG4,7.19E-05,0.942103683,0.25,0.063,0.985959757,7,PSMG4
H2AFJ,7.19E-05,0.827379372,0.438,0.149,0.986285592,7,H2AFJ
AKR7A2,7.23E-05,0.774673394,0.406,0.13,0.990962174,7,AKR7A2
SFT2D11,7.26E-05,0.702255827,0.438,0.144,0.99517399,7,SFT2D1
TMEM14C,7.28E-05,0.808171782,0.438,0.15,0.999032288,7,TMEM14C
ADPGK,7.32E-05,0.932719305,0.344,0.103,1,7,ADPGK
ACAT1,7.63E-05,0.970457948,0.25,0.063,1,7,ACAT1
ACADM,7.67E-05,0.603390192,0.281,0.075,1,7,ACADM
COX5B2,7.67E-05,0.536835781,0.938,0.498,1,7,COX5B
MX11,7.72E-05,0.763750754,0.562,0.214,1,7,MX1
CYTH41,7.83E-05,0.633764697,0.406,0.128,1,7,CYTH4
LAGE3,7.92E-05,0.544031554,0.375,0.112,1,7,LAGE3
COPE3,7.93E-05,0.718723847,0.906,0.432,1,7,COPE
LGALS32,7.96E-05,0.38218729,0.625,0.242,1,7,LGALS3
C7orf501,7.97E-05,0.627412414,0.469,0.158,1,7,C7orf50
PFN14,7.97E-05,0.376308221,1,0.945,1,7,PFN1
RHOG2,8.04E-05,0.712722546,0.781,0.386,1,7,RHOG
UBE2A1,8.04E-05,1.067192503,0.375,0.12,1,7,UBE2A
GSTO12,8.07E-05,0.482122587,0.719,0.287,1,7,GSTO1
CHCHD51,8.10E-05,0.633431074,0.438,0.144,1,7,CHCHD5
ARRDC11,8.10E-05,0.792219856,0.344,0.102,1,7,ARRDC1
HHEX,8.25E-05,0.642489618,0.281,0.075,1,7,HHEX
ARPC33,8.36E-05,0.783441704,0.969,0.815,1,7,ARPC3
C19orf701,8.41E-05,0.658495555,0.594,0.219,1,7,C19orf70
NRD1,8.58E-05,0.861028046,0.281,0.076,1,7,NRD1
RNPEP1,8.59E-05,0.912784479,0.312,0.09,1,7,RNPEP
GTF2A2,8.88E-05,0.557872668,0.5,0.17,1,7,GTF2A2
CNPPD1,8.89E-05,0.71320771,0.281,0.075,1,7,CNPPD1
PSMA41,8.99E-05,0.385018015,0.438,0.139,1,7,PSMA4
SUPT4H12,9.10E-05,0.359199361,0.75,0.283,1,7,SUPT4H1
LARP7,9.16E-05,0.97917157,0.312,0.091,1,7,LARP7
TOR2A,9.27E-05,0.946914169,0.25,0.064,1,7,TOR2A
MRPL14,9.29E-05,2.200935178,0.438,0.152,1,7,MRPL14
NDUFS31,9.32E-05,0.686993068,0.469,0.162,1,7,NDUFS3
ATP5G32,9.70E-05,0.702467434,0.906,0.426,1,7,ATP5G3
ATIC,9.76E-05,0.93609433,0.312,0.089,1,7,ATIC
PPIA2,9.82E-05,0.527441515,0.969,0.74,1,7,PPIA
VAMP7,9.98E-05,0.728464533,0.25,0.064,1,7,VAMP7
IVNS1ABP,0.000101791,0.848306902,0.25,0.064,1,7,IVNS1ABP
TRIAP1,0.000104487,0.628368933,0.281,0.076,1,7,TRIAP1
CHPT1,0.000104805,0.635331148,0.375,0.116,1,7,CHPT1
CHMP4B2,0.000109438,0.70102258,0.5,0.173,1,7,CHMP4B
DECR12,0.000112739,0.754075436,0.5,0.183,1,7,DECR1
UFM1,0.000112998,0.745743936,0.312,0.089,1,7,UFM1
LAT21,0.000116359,0.398773728,0.312,0.09,1,7,LAT2
PABPC11,0.000119592,0.504810034,1,0.859,1,7,PABPC1
NUDT22,0.000122354,0.71216474,0.312,0.09,1,7,NUDT22
CHCHD3,0.000122781,0.798614036,0.281,0.078,1,7,CHCHD3
ZNF131,0.000125846,0.893891286,0.25,0.065,1,7,ZNF131
KIAA1143,0.000127891,1.168851799,0.25,0.066,1,7,KIAA1143
MTCH2,0.000129717,0.749491308,0.281,0.079,1,7,MTCH2
ZFP362,0.000129835,0.46105698,1,0.702,1,7,ZFP36
PABPN1,0.000130608,1.167680713,0.281,0.08,1,7,PABPN1
OSBPL8,0.000131805,0.750599979,0.25,0.065,1,7,OSBPL8
SCNM1,0.000139186,0.749100742,0.375,0.12,1,7,SCNM1
MRPL45,0.00014359,0.966960151,0.25,0.066,1,7,MRPL45
DNTTIP1,0.00014541,0.629481006,0.25,0.067,1,7,DNTTIP1
CD41,0.000149166,1.224406157,0.344,0.114,1,7,CD4
SSRP1,0.000149627,1.023810896,0.281,0.081,1,7,SSRP1
VASP2,0.000150223,0.517149623,0.688,0.27,1,7,VASP
HSD17B10,0.000154751,0.595233582,0.531,0.193,1,7,HSD17B10
MSN3,0.000157081,0.619536176,0.688,0.281,1,7,MSN
MLF2,0.000163217,0.867523027,0.406,0.138,1,7,MLF2
COMMD1,0.000164501,0.456815969,0.344,0.103,1,7,COMMD1
SERPINB62,0.000171471,0.79740247,0.5,0.19,1,7,SERPINB6
RPL7L1,0.000175797,0.401597416,0.344,0.107,1,7,RPL7L1
SSB1,0.0001768,0.606393566,0.594,0.229,1,7,SSB
YBX12,0.000181839,0.566344409,1,0.815,1,7,YBX1
TOMM22,0.000182349,0.428826105,0.656,0.248,1,7,TOMM22
CTA-29F11.1,0.000187849,0.98984209,0.25,0.068,1,7,CTA-29F11.1
METAP2,0.000188049,0.642886943,0.375,0.12,1,7,METAP2
HCK2,0.00018927,0.266352544,0.438,0.147,1,7,HCK
SNRPA,0.000189727,0.601784892,0.344,0.106,1,7,SNRPA
XAF11,0.000192033,0.751398469,0.562,0.207,1,7,XAF1
FMNL11,0.000193105,0.562400185,0.562,0.218,1,7,FMNL1
TXNDC171,0.000194434,0.614136125,0.344,0.108,1,7,TXNDC17
IMPDH11,0.000201096,1.107728231,0.281,0.083,1,7,IMPDH1
PSMB41,0.000202658,0.455956638,0.5,0.177,1,7,PSMB4
SEP151,0.000205221,1.197335976,0.719,0.292,1,7,Sep 15
BRD4,0.000207377,0.833804653,0.25,0.068,1,7,BRD4
NAPRT12,0.00020742,0.544760053,0.375,0.122,1,7,NAPRT1
SH3BP2,0.000207928,0.79141532,0.25,0.067,1,7,SH3BP2
ADI11,0.000208217,0.669611892,0.438,0.155,1,7,ADI1
TLN11,0.000208685,0.768325593,0.375,0.124,1,7,TLN1
MYADM2,0.00021197,0.525819138,0.5,0.186,1,7,MYADM
LINC00152,0.000214551,0.541727356,0.312,0.094,1,7,LINC00152
GGCT,0.000216043,0.866636308,0.25,0.068,1,7,GGCT
CCNC,0.000221547,0.527051487,0.312,0.093,1,7,CCNC
STAT6,0.000228249,0.800976053,0.312,0.096,1,7,STAT6
C14orf1,0.000236618,0.346617654,0.312,0.096,1,7,C14orf1
H3F3A3,0.000238692,0.509857044,0.844,0.38,1,7,H3F3A
C1orf432,0.000239422,0.739207201,0.562,0.223,1,7,C1orf43
CD300A2,0.000245037,0.62997847,0.375,0.124,1,7,CD300A
RTFDC1,0.000248033,0.358606632,0.562,0.207,1,7,RTFDC1
NT5C,0.000250898,0.382710273,0.375,0.124,1,7,NT5C
GNAS2,0.000254428,0.721839093,0.688,0.295,1,7,GNAS
RPL391,0.000259799,0.689388453,0.625,0.271,1,7,RPL39
ANKRD11,0.000260382,0.716721315,0.25,0.068,1,7,ANKRD11
COMT2,0.000261904,0.562531052,0.438,0.153,1,7,COMT
RGS192,0.000262375,0.560158274,0.656,0.266,1,7,RGS19
CYCS1,0.000266168,0.601414621,0.719,0.314,1,7,CYCS
NOTCH2NL,0.000272503,1.072322834,0.312,0.101,1,7,NOTCH2NL
C11orf48,0.000274012,0.390673137,0.406,0.134,1,7,C11orf48
PAK2,0.0002752,0.654995275,0.344,0.109,1,7,PAK2
AATF,0.000279552,0.253253786,0.344,0.107,1,7,AATF
COX8A2,0.000280135,0.828072598,0.812,0.382,1,7,COX8A
TCF252,0.000288729,0.474244469,0.656,0.25,1,7,TCF25
RGS101,0.000289236,0.733081121,0.812,0.412,1,7,RGS10
STX16,0.000293829,0.539601678,0.281,0.083,1,7,STX16
PDIA62,0.000297364,0.575939017,0.594,0.236,1,7,PDIA6
UQCRFS12,0.000298863,0.62774559,0.688,0.283,1,7,UQCRFS1
POU2F23,0.000307064,0.465421364,0.438,0.157,1,7,POU2F2
MX21,0.000315365,0.607206727,0.344,0.111,1,7,MX2
LINC00493,0.000316207,0.715665706,0.5,0.188,1,7,LINC00493
MRPL3,0.000317683,0.705715924,0.344,0.111,1,7,MRPL3
GLIPR12,0.000317716,0.506393752,0.531,0.204,1,7,GLIPR1
FKBP1A2,0.000322973,0.554365822,0.875,0.461,1,7,FKBP1A
FAM177A1,0.000327605,0.724368271,0.344,0.112,1,7,FAM177A1
DEK,0.000328303,0.493192036,0.594,0.226,1,7,DEK
FCGR2A2,0.000330129,0.334646898,0.281,0.083,1,7,FCGR2A
UROS,0.00033111,0.7726308,0.344,0.113,1,7,UROS
NUDT1,0.000334074,0.544935611,0.312,0.097,1,7,NUDT1
NBPF10,0.000338105,0.628730176,0.25,0.07,1,7,NBPF10
NCOA41,0.000338277,0.296363988,0.406,0.141,1,7,NCOA4
CCT31,0.000343913,0.274811621,0.562,0.206,1,7,CCT3
COX16,0.000352671,0.57510351,0.406,0.139,1,7,COX16
GLUD11,0.000354671,0.599490132,0.375,0.126,1,7,GLUD1
BAZ1A1,0.000356728,0.638636118,0.531,0.212,1,7,BAZ1A
PTPN1,0.000359778,1.070329683,0.25,0.072,1,7,PTPN1
C15orf61,0.000365403,0.530379553,0.25,0.07,1,7,C15orf61
TOLLIP,0.00036562,0.51812762,0.25,0.069,1,7,TOLLIP
GRSF1,0.000367518,0.439257267,0.375,0.124,1,7,GRSF1
LCP13,0.00036756,0.602725695,0.781,0.382,1,7,LCP1
CD633,0.000370914,0.496629379,0.75,0.34,1,7,CD63
NENF,0.000372633,0.811568776,0.406,0.147,1,7,NENF
RPS6KB2,0.000375082,0.666061294,0.312,0.097,1,7,RPS6KB2
ETHE1,0.000379403,0.31283608,0.406,0.137,1,7,ETHE1
CKLF2,0.000386309,0.75205055,0.531,0.212,1,7,CKLF
MRPL271,0.000390375,0.797288844,0.312,0.099,1,7,MRPL27
RPN1,0.000405984,0.712889699,0.344,0.114,1,7,RPN1
TXN21,0.000412836,0.590353333,0.438,0.16,1,7,TXN2
OSGEP,0.000428377,0.856664715,0.25,0.071,1,7,OSGEP
PDHB,0.000429607,0.732813249,0.406,0.145,1,7,PDHB
NOP56,0.000430891,0.45482396,0.406,0.141,1,7,NOP56
TMEM179B1,0.000448958,0.569696309,0.438,0.158,1,7,TMEM179B
SLC16A31,0.000449249,0.295334681,0.25,0.071,1,7,SLC16A3
FAM162A,0.000456184,0.902972786,0.375,0.134,1,7,FAM162A
PGD1,0.000459719,0.581226731,0.344,0.115,1,7,PGD
NDUFV21,0.00046161,0.565236662,0.656,0.277,1,7,NDUFV2
GADD45B2,0.00046486,0.425661113,0.562,0.233,1,7,GADD45B
SUB12,0.000465278,0.510140288,0.688,0.297,1,7,SUB1
CHCHD22,0.000476648,0.49854818,1,0.71,1,7,CHCHD2
WDR74,0.000480744,0.786762496,0.312,0.101,1,7,WDR74
LIPA,0.000487948,0.816043877,0.312,0.101,1,7,LIPA
NUDC,0.000489204,0.391153243,0.562,0.213,1,7,NUDC
PRDX4,0.000491734,0.441736093,0.281,0.085,1,7,PRDX4
DHRS4L2,0.000491956,2.068657251,0.344,0.118,1,7,DHRS4L2
FASTK,0.00049255,0.87299898,0.25,0.073,1,7,FASTK
VPS25,0.000498533,0.586050305,0.25,0.074,1,7,VPS25
DPM1,0.000503575,0.659069895,0.312,0.101,1,7,DPM1
OAZ22,0.000509381,0.316785502,0.438,0.16,1,7,OAZ2
EIF3K1,0.000514672,0.78596805,1,0.739,1,7,EIF3K
PPP2R3C,0.000522337,0.814632979,0.25,0.074,1,7,PPP2R3C
LACTB,0.000523979,0.894988274,0.25,0.074,1,7,LACTB
MRPL11,0.000535237,1.015712762,0.406,0.155,1,7,MRPL11
OTUB11,0.000535407,0.356809212,0.438,0.158,1,7,OTUB1
HP1BP3,0.000543921,0.470680842,0.344,0.114,1,7,HP1BP3
NR4A2,0.00055969,0.95658958,0.469,0.198,1,7,NR4A2
SRSF72,0.000561694,1.006539952,0.844,0.481,1,7,SRSF7
ATP5A1,0.000565714,0.587093316,0.781,0.414,1,7,ATP5A1
COPS8,0.000567537,0.385188278,0.281,0.085,1,7,COPS8
GRHPR,0.000581681,0.380479252,0.375,0.127,1,7,GRHPR
SLC25A52,0.000585708,1.083314975,0.844,0.505,1,7,SLC25A5
SAP30BP,0.000585722,0.51811024,0.312,0.101,1,7,SAP30BP
ADSS,0.000589396,0.382759925,0.312,0.099,1,7,ADSS
ANXA14,0.000596856,1.108400623,0.938,0.589,1,7,ANXA1
PTPLAD2,0.000600258,1.022527292,0.281,0.091,1,7,PTPLAD2
